site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Caltech2  178  1  1  1  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  1  2  Devalued  pre  1-day  1.753360e-01  5.554578e+00  2  7  3  10
Caltech2  178  1  1  3  Valued  pre  1-day  1.252473e-01  6.703208e+00  2  5  3  10
Caltech2  178  1  1  4  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  1  5  Valued  pre  1-day  2.482489e-01  3.146398e+00  2  10  3  10
Caltech2  178  1  1  6  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  1  7  Devalued  pre  1-day  2.754230e-01  1.549494e+00  2  11  3  10
Caltech2  178  1  1  8  Valued  pre  1-day  1.251075e-01  6.565341e+00  1  5  3  10
Caltech2  178  1  1  9  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  1  10  Devalued  pre  1-day  1.502219e-01  4.608701e+00  1  6  3  10
Caltech2  178  1  1  11  Valued  pre  1-day  5.014410e-02  2.094305e+01  1  2  3  10
Caltech2  178  1  1  12  Devalued  pre  1-day  7.506191e-02  1.654574e+01  1  3  3  10
Caltech2  178  1  2  1  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  2  2  Devalued  pre  1-day  1.002633e-01  3.187315e+00  1  4  3  10
Caltech2  178  1  2  3  Valued  pre  1-day  2.501047e-02  0  1  1  3  10
Caltech2  178  1  2  4  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  2  5  Devalued  pre  1-day  1.495470e-01  5.899465e+00  3  6  3  10
Caltech2  178  1  2  6  Valued  pre  1-day  2.512498e-02  0  0  1  3  10
Caltech2  178  1  2  7  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  2  8  Devalued  pre  1-day  2.004158e-01  3.273772e+00  2  8  3  10
Caltech2  178  1  2  9  Valued  pre  1-day  2.502334e-02  0  0  1  3  10
Caltech2  178  1  2  10  Devalued  pre  1-day  1.751806e-01  3.937022e+00  2  7  3  10
Caltech2  178  1  2  11  Valued  pre  1-day  2.501086e-02  0  1  1  3  10
Caltech2  178  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech2  178  1  3  1  Devalued  post  1-day  4.999903e-02  0  0  1  -3  9
Caltech2  178  1  3  2  Rest  post  1-day  0  0  0  0  NaN  9
Caltech2  178  1  3  3  Valued  post  1-day  0  0  0  0  4  9
Caltech2  178  1  3  4  Devalued  post  1-day  0  0  0  0  -3  9
Caltech2  178  1  3  5  Rest  post  1-day  0  0  0  0  NaN  9
Caltech2  178  1  3  6  Valued  post  1-day  1.001939e-01  3.592064e-02  0  2  4  9
Caltech2  178  1  3  7  Devalued  post  1-day  0  0  0  0  -3  9
Caltech2  178  1  3  8  Rest  post  1-day  0  0  0  0  NaN  9
Caltech2  178  1  3  9  Valued  post  1-day  2.003329e-01  6.170280e+00  0  4  4  9
Caltech2  179  1  1  1  Valued  pre  1-day  1.224577e+00  5.049872e-01  3  49  4  7
Caltech2  179  1  1  2  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech2  179  1  1  3  Devalued  pre  1-day  1.549571e+00  4.235007e-01  3  62  3  7
Caltech2  179  1  1  4  Valued  pre  1-day  1.101079e+00  6.228809e-01  1  44  4  7
Caltech2  179  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech2  179  1  1  6  Devalued  pre  1-day  2.224032e+00  3.339289e-01  5  89  3  7
Caltech2  179  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech2  179  1  1  8  Devalued  pre  1-day  1.524240e+00  5.397920e-01  5  61  3  7
Caltech2  179  1  1  9  Valued  pre  1-day  1.775674e+00  5.491094e-01  3  71  4  7
Caltech2  179  1  1  10  Devalued  pre  1-day  1.949069e+00  3.330325e-01  4  79  3  7
