site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Hamburg  114  1  2  2  Devalued  pre  1-day  4.958387e+00  1.563712e-01  2  105  4  6
Hamburg  114  1  2  3  Valued  pre  1-day  5.266797e+00  1.037897e-01  2  205  5  6
Hamburg  114  1  2  4  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  2  5  Devalued  pre  1-day  2.692849e+00  3.773923e-01  3  54  4  6
Hamburg  114  1  2  6  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  2  7  Valued  pre  1-day  4.672461e+00  1.372374e-01  3  187  5  6
Hamburg  114  1  2  8  Devalued  pre  1-day  1.099216e+00  3.540312e-01  3  22  4  6
Hamburg  114  1  2  9  Valued  pre  1-day  5.359780e+00  9.833636e-02  1  107  5  6
Hamburg  114  1  2  10  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  2  11  Valued  pre  1-day  4.768386e+00  1.689197e-01  3  96  5  6
Hamburg  114  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  2  13  Devalued  pre  1-day  1.422299e+00  1.545784e-01  1  57  4  6
Hamburg  114  1  2  14  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  2  15  Valued  pre  1-day  4.621487e+00  1.222394e-01  1  93  5  6
Hamburg  114  1  2  16  Devalued  pre  1-day  1.202953e+00  2.347935e-01  0  48  4  6
Hamburg  114  1  2  17  Valued  pre  1-day  4.490188e+00  1.729227e-01  2  90  5  6
Hamburg  114  1  2  18  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  2  19  Devalued  pre  1-day  1.795622e+00  2.281176e-01  2  36  4  6
Hamburg  114  1  2  20  Rest  pre  1-day  0  0  0  0  NaN  6
Hamburg  114  1  3  1  Devalued  post  1-day  0  0  0  0  -4  4
Hamburg  114  1  3  2  Valued  post  1-day  5.254267e+00  1.850738e-01  0  105  5  4
Hamburg  114  1  3  3  Rest  post  1-day  0  0  0  0  NaN  4
Hamburg  114  1  3  4  Valued  post  1-day  6.534883e+00  8.076118e-02  0  131  5  4
Hamburg  114  1  3  5  Rest  post  1-day  0  0  0  0  NaN  4
Hamburg  114  1  3  6  Devalued  post  1-day  0  0  0  0  -4  4
Hamburg  114  1  3  7  Rest  post  1-day  0  0  0  0  NaN  4
Hamburg  114  1  3  8  Devalued  post  1-day  0  0  0  0  -4  4
Hamburg  114  1  3  9  Valued  post  1-day  6.525057e+00  7.856977e-02  0  131  5  4
Hamburg  115  1  1  1  Valued  pre  1-day  1.603397e+00  4.626784e-01  5  64  3  8
Hamburg  115  1  1  2  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  3  Valued  pre  1-day  1.837846e+00  2.219908e-01  3  37  3  8
Hamburg  115  1  1  4  Devalued  pre  1-day  1.906948e+00  2.115135e-01  3  38  4  8
Hamburg  115  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  6  Devalued  pre  1-day  2.219186e+00  1.774743e-01  3  45  4  8
Hamburg  115  1  1  7  Valued  pre  1-day  1.876184e+00  2.040039e-01  3  37  3  8
Hamburg  115  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  9  Valued  pre  1-day  2.082053e+00  1.818861e-01  1  42  3  8
Hamburg  115  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  11  Valued  pre  1-day  2.095474e+00  1.288676e-01  1  84  3  8
Hamburg  115  1  1  12  Devalued  pre  1-day  2.057407e+00  1.320750e-01  1  41  4  8
Hamburg  115  1  1  13  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  14  Devalued  pre  1-day  2.145928e+00  1.499607e-01  3  86  4  8
Hamburg  115  1  1  15  Rest  pre  1-day  0  0  0  0  NaN  8
