site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Sydney  239  1  2  3  Devalued  pre  1-day  2.553297e+00  1.581636e-01  1  100  5  8
Sydney  239  1  2  4  Valued  pre  1-day  1.655171e+00  2.811763e-01  2  33  5  8
Sydney  239  1  2  5  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  6  Devalued  pre  1-day  1.751051e+00  2.820376e-01  1  35  5  8
Sydney  239  1  2  7  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  8  Valued  pre  1-day  2.048266e+00  2.991942e-01  0  41  5  8
Sydney  239  1  2  9  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  10  Valued  pre  1-day  1.951067e+00  2.063465e-01  1  39  5  8
Sydney  239  1  2  11  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  12  Devalued  pre  1-day  1.696495e+00  4.080985e-01  2  68  5  8
Sydney  239  1  2  13  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  14  Devalued  pre  1-day  1.739768e+00  1.646795e-01  2  36  5  8
Sydney  239  1  2  15  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  16  Devalued  pre  1-day  2.184680e+00  1.856539e-01  0  44  5  8
Sydney  239  1  2  17  Valued  pre  1-day  1.962105e+00  2.489852e-01  2  39  5  8
Sydney  239  1  2  18  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  2  19  Devalued  pre  1-day  9.921927e-01  7.278641e-01  4  20  5  8
Sydney  239  1  2  20  Valued  pre  1-day  1.280707e+00  3.383669e-01  4  51  5  8
Sydney  239  1  3  1  Devalued  post  1-day  2.490993e-01  2.371064e+00  0  5  0  3
Sydney  239  1  3  2  Valued  post  1-day  7.039101e-01  6.681515e-01  0  14  3  3
Sydney  239  1  3  3  Rest  post  1-day  0  0  0  0  NaN  3
Sydney  239  1  3  4  Valued  post  1-day  1.547661e+00  4.637134e-01  0  31  3  3
Sydney  239  1  3  5  Rest  post  1-day  0  0  0  0  NaN  3
Sydney  239  1  3  6  Valued  post  1-day  1.543460e+00  4.402693e-01  0  31  3  3
Sydney  239  1  3  7  Devalued  post  1-day  5.029224e-01  8.874614e-01  0  11  0  3
Sydney  239  1  3  8  Rest  post  1-day  0  0  0  0  NaN  3
Sydney  239  1  3  9  Devalued  post  1-day  6.002212e-01  9.618220e-01  0  12  0  3
Sydney  240  1  1  1  Devalued  pre  1-day  9.579186e-01  2.805528e-01  3  38  5  10
