site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Caltech1  52  1  2  1  Valued  pre  1-day  4.325470e+00  1.054056e-01  1  83  5  10
Caltech1  52  1  2  2  Devalued  pre  1-day  4.062934e+00  1.236198e-01  3  162  5  10
Caltech1  52  1  2  3  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  4  Valued  pre  1-day  3.900191e+00  2.001448e-01  4  78  5  10
Caltech1  52  1  2  5  Devalued  pre  1-day  3.581422e+00  1.950079e-01  4  72  5  10
Caltech1  52  1  2  6  Valued  pre  1-day  3.896736e+00  1.049415e-01  2  156  5  10
Caltech1  52  1  2  7  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  8  Valued  pre  1-day  4.120748e+00  1.046561e-01  2  165  5  10
Caltech1  52  1  2  9  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  10  Devalued  pre  1-day  4.314202e+00  1.093200e-01  0  87  5  10
Caltech1  52  1  2  11  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  12  Valued  pre  1-day  3.574707e+00  1.989510e-01  3  72  5  10
Caltech1  52  1  2  13  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  14  Valued  pre  1-day  3.949120e+00  1.842935e-01  3  79  5  10
Caltech1  52  1  2  15  Devalued  pre  1-day  3.813636e+00  1.334621e-01  3  153  5  10
Caltech1  52  1  2  16  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  17  Devalued  pre  1-day  4.188805e+00  1.715005e-01  3  84  5  10
Caltech1  52  1  2  18  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  2  19  Devalued  pre  1-day  4.514726e+00  1.197006e-01  1  91  5  10
Caltech1  52  1  2  20  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  3  1  Rest  post  1-day  0  0  0  0  NaN  2
Caltech1  52  1  3  2  Devalued  post  1-day  4.774468e+00  9.080806e-02  0  96  0  2
Caltech1  52  1  3  3  Valued  post  1-day  4.509941e+00  9.831174e-02  0  90  5  2
Caltech1  52  1  3  4  Devalued  post  1-day  4.665146e+00  4.311845e-02  0  94  0  2
Caltech1  52  1  3  5  Rest  post  1-day  0  0  0  0  NaN  2
Caltech1  52  1  3  6  Valued  post  1-day  5.199823e+00  5.425517e-02  0  104  5  2
Caltech1  52  1  3  7  Devalued  post  1-day  4.341271e+00  6.664584e-02  0  88  0  2
Caltech1  52  1  3  8  Valued  post  1-day  4.486401e+00  6.873309e-02  0  91  5  2
Caltech1  52  1  3  9  Rest  post  1-day  0  0  0  0  NaN  2
Caltech1  53  1  1  1  Devalued  pre  1-day  1.677589e+00  2.352190e-01  1  66  0  8
Caltech1  53  1  1  2  Valued  pre  1-day  1.405464e+00  5.073970e-01  3  28  4  8
Caltech1  53  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  4  Valued  pre  1-day  1.623003e+00  2.472642e-01  3  65  4  8
Caltech1  53  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  6  Valued  pre  1-day  1.444885e+00  3.225498e-01  4  29  4  8
Caltech1  53  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  8  Devalued  pre  1-day  1.645001e+00  2.170322e-01  1  33  0  8
Caltech1  53  1  1  9  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  10  Devalued  pre  1-day  1.694284e+00  2.877641e-01  2  34  0  8
Caltech1  53  1  1  11  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  12  Valued  pre  1-day  1.649494e+00  2.377118e-01  2  33  4  8
Caltech1  53  1  1  13  Devalued  pre  1-day  1.496810e+00  2.597072e-01  3  60  0  8
Caltech1  53  1  1  14  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  15  Devalued  pre  1-day  1.487657e+00  2.123982e-01  1  30  0  8
Caltech1  53  1  1  16  Valued  pre  1-day  1.506853e+00  2.919574e-01  3  60  4  8
Caltech1  53  1  1  17  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  18  Devalued  pre  1-day  1.498148e+00  2.528969e-01  2  30  0  8
Caltech1  53  1  1  19  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  1  20  Valued  pre  1-day  1.646819e+00  4.236935e-02  0  33  4  8
Caltech1  53  1  2  1  Devalued  pre  1-day  1.469317e+00  2.296782e-01  2  29  0  8
Caltech1  53  1  2  2  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  3  Valued  pre  1-day  1.496348e+00  2.575476e-01  3  30  4  8
Caltech1  53  1  2  4  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  5  Devalued  pre  1-day  1.724761e+00  1.528810e-01  2  69  0  8
Caltech1  53  1  2  6  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  7  Valued  pre  1-day  1.591974e+00  2.513312e-01  2  32  4  8
Caltech1  53  1  2  8  Devalued  pre  1-day  1.552371e+00  2.545840e-01  3  31  0  8
